pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
1,44,2,49,1,-1,8,1,32,2
2,43,1,62,1,-1,12,1,49,1
1,39,1,44,1,-1,7,8,29,20
2,39,1,44,1,-1,9,5,36,17
1,39,1,67,1,-1,10,10,43,22
2,39,1,66,1,-1,8,5,33,17
2,43,1,36,1,-1,9,2,36,3
1,44,1,33,1,-1,10,2,40,6
1,46,1,35,1,-1,10,2,41,10
1,46,2,50,1,-1,9,2,36,7
1,40,1,71,1,-1,5,4,22,16
1,46,1,75,1,-1,10,2,41,10
1,43,1,53,1,-1,8,2,32,8
1,43,1,77,1,-1,9,2,36,3
2,43,1,60,1,-1,4,9,8,21
2,44,1,56,1,-1,10,2,40,8
2,39,2,55,4,6,8,5,32,17
1,39,2,29,1,-1,6,10,23,22
2,44,1,33,1,-1,9,1,36,2
1,43,1,31,1,-1,13,2,51,8
1,44,4,33,1,-1,9,2,36,3
2,43,2,78,1,-1,10,2,43,6
1,43,2,42,1,-1,4,2,6,4
2,43,1,55,1,-1,11,3,44,15
1,43,1,26,1,-1,1,3,1,14
1,43,1,22,1,-1,9,9,36,21
1,39,1,52,1,-1,13,8,51,20
2,39,1,24,1,-1,11,3,46,13
2,39,1,21,1,-1,5,4,22,16
1,36,2,78,1,-1,12,3,49,11
2,41,2,45,1,-1,12,3,48,15
1,42,2,46,1,-1,6,10,23,22
2,43,1,53,1,-1,10,2,41,10
2,43,2,55,1,-1,10,3,43,15
1,39,2,54,1,-1,6,10,23,22
2,36,2,59,1,-1,10,3,42,11
2,40,1,63,1,-1,5,4,22,16
2,40,1,68,3,4,9,1,36,2
2,44,1,35,1,-1,10,2,40,8
1,44,1,36,1,-1,10,2,43,6
1,39,1,60,1,-1,2,7,3,19
1,40,1,49,1,-1,4,9,19,21
2,41,1,49,1,-1,12,3,48,15
1,43,1,26,1,-1,3,10,4,22
1,40,1,24,1,-1,9,3,38,14
1,42,1,63,1,-1,13,3,51,12
2,43,1,59,1,-1,10,5,40,17
1,38,1,22,1,-1,11,1,44,1
2,43,2,45,1,-1,11,3,45,14
1,39,2,24,1,-1,11,3,45,14
2,39,2,23,1,-1,5,4,22,16
2,39,1,29,1,-1,5,4,22,16
1,46,1,55,1,-1,10,2,40,8
1,43,1,50,1,-1,4,2,8,3
2,44,1,31,1,-1,13,2,51,3
1,46,1,80,2,-1,9,2,36,7
1,44,1,31,1,-1,1,1,1,1
2,44,1,31,1,-1,9,2,36,5
2,43,1,70,1,-1,13,1,51,2
1,44,1,34,1,-1,13,2,51,3
2,44,1,31,1,-1,9,2,36,3
1,44,1,64,1,-1,13,1,51,2
2,44,1,69,1,-1,10,1,40,1
2,44,2,31,1,-1,9,4,36,16
2,44,1,44,1,-1,13,2,51,6
2,46,2,53,1,-1,13,5,51,17
1,40,2,32,1,-1,6,10,23,22
1,40,2,29,1,-1,6,10,23,22
2,42,2,27,1,-1,6,5,23,17
1,43,1,24,1,-1,13,2,51,7
1,43,2,24,1,-1,12,1,49,1
1,45,2,33,1,-1,12,2,49,7
2,43,1,24,1,-1,9,2,36,3
2,43,1,25,1,-1,10,2,40,8
1,44,1,35,1,-1,10,1,42,1
1,43,2,24,4,8,9,1,36,2
2,41,2,35,1,-1,10,3,42,11
1,43,1,27,1,-1,9,1,36,1
2,45,1,34,1,-1,13,2,51,7
2,44,1,34,1,-1,10,1,42,1
2,44,1,27,1,-1,10,1,40,1
