peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
43,1,27,1,-1,8,1,32,2
43,1,53,1,-1,10,2,41,10
43,1,44,1,-1,10,2,41,10
38,1,40,1,-1,9,3,38,14
44,1,63,1,-1,7,4,25,16
39,1,23,1,-1,5,5,22,17
39,1,56,1,-1,13,5,51,17
44,1,32,1,-1,10,2,40,8
43,1,33,1,-1,9,2,36,9
44,1,34,1,-1,9,1,36,1
44,4,65,1,-1,4,1,19,1
43,4,31,1,-1,4,1,19,2
42,1,56,1,-1,10,1,42,1
40,1,22,1,-1,10,3,42,11
42,1,51,1,-1,6,5,23,17
40,1,46,1,-1,5,4,22,16
44,1,38,1,-1,13,2,51,3
46,1,37,1,-1,12,1,49,2
44,1,39,1,-1,9,1,36,2
44,1,35,1,-1,10,1,40,1
44,1,39,1,-1,12,1,49,1
43,4,23,4,1,12,2,49,3
44,2,39,1,-1,10,2,40,8
44,2,42,1,-1,10,2,40,8
45,1,76,1,-1,10,2,41,10
43,1,57,1,-1,13,2,51,3
43,1,26,4,4,9,1,36,2
43,1,26,2,-1,9,1,36,2
46,1,69,1,-1,10,2,40,8
43,1,26,1,-1,8,1,32,1
43,4,30,1,-1,9,1,36,2
45,1,54,1,-1,13,1,51,1
43,1,22,1,-1,13,2,51,4
43,1,27,1,-1,10,2,40,8
43,1,26,1,-1,5,4,22,16
39,1,25,1,-1,5,4,22,16
45,1,70,1,-1,9,2,36,7
44,1,26,1,-1,13,2,51,3
44,1,28,1,-1,9,2,36,3
44,1,25,1,-1,11,2,44,9
40,2,49,1,-1,10,10,42,22
39,2,30,2,-1,12,3,48,15
39,2,75,1,-1,9,3,38,14
43,1,51,1,-1,9,1,36,2
43,1,74,1,-1,12,1,49,1
46,1,26,4,4,13,2,51,5
44,1,36,1,-1,10,1,42,1
44,1,24,1,-1,13,2,51,8
46,1,49,1,-1,13,2,51,5
43,1,35,1,-1,12,2,49,3
43,1,33,1,-1,7,2,25,9
44,1,43,1,-1,10,1,40,1
44,1,47,1,-1,13,5,51,17
42,1,51,2,-1,11,3,46,13
33,1,62,1,-1,9,3,38,14
33,1,58,1,-1,9,3,38,14
39,1,42,1,-1,9,3,38,14
39,1,35,1,-1,10,3,40,15
40,1,21,1,-1,12,3,48,13
39,2,32,4,4,9,3,38,12
44,2,40,1,-1,3,2,4,5
44,2,33,1,-1,10,2,40,8
39,1,32,1,-1,7,4,29,16
39,1,58,1,-1,9,9,36,21
43,4,45,1,-1,10,2,40,8
43,1,54,1,-1,4,8,19,20
44,1,49,1,-1,10,2,42,10
39,1,48,1,-1,5,4,22,16
44,2,54,1,-1,9,1,36,1
40,2,48,1,-1,5,4,22,16
44,2,52,1,-1,9,1,36,1
40,2,20,1,-1,5,4,21,16
46,1,61,1,-1,10,2,42,10
43,1,63,1,-1,8,4,34,16
46,4,62,1,-1,4,2,19,4
39,2,51,1,-1,10,5,42,17
46,1,49,1,-1,8,1,33,2
44,1,40,1,-1,4,9,16,21
39,1,72,1,-1,5,4,22,16
39,1,48,1,-1,5,4,22,16
44,6,60,1,-1,9,8,36,20
44,1,60,1,-1,10,1,41,1
42,1,21,1,-1,6,5,23,17
43,1,23,1,-1,12,3,48,15
43,1,43,1,-1,9,2,36,3
43,1,32,1,-1,8,2,32,3
43,1,33,1,-1,10,2,40,10
43,1,35,1,-1,9,1,36,1
39,1,38,1,-1,9,1,36,1
44,1,80,1,-1,9,1,36,2
39,1,43,1,-1,9,3,38,14
39,1,38,1,-1,3,7,4,19
39,1,20,1,-1,5,4,22,16
39,1,79,1,-1,12,3,50,15
