pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
1,43,1,34,1,-1,13,3,51,12
2,44,1,35,1,-1,10,5,41,17
2,39,1,30,1,-1,10,3,40,12
1,39,1,59,1,-1,5,4,22,16
2,44,1,32,1,-1,10,2,42,10
2,39,1,72,1,-1,8,1,32,2
1,44,1,48,1,-1,13,1,51,2
2,44,1,49,1,-1,10,2,42,6
2,44,1,50,1,-1,10,2,40,8
1,37,1,18,1,-1,11,3,46,13
1,37,1,18,1,-1,11,3,46,13
1,43,1,56,1,-1,8,1,32,1
2,44,1,40,1,-1,11,3,46,13
2,43,1,80,2,-1,5,4,22,16
1,43,1,29,1,-1,4,2,8,4
1,43,1,31,2,-1,9,1,36,1
2,39,2,34,4,57,4,4,13,16
1,43,1,73,1,-1,8,4,34,16
1,43,1,35,1,-1,8,1,32,1
2,43,2,27,1,-1,13,5,51,17
2,42,1,75,1,-1,10,2,43,6
2,40,2,28,1,-1,10,2,41,10
2,40,2,29,1,-1,5,2,22,10
2,39,1,60,1,-1,12,9,47,21
1,39,1,58,1,-1,6,5,23,17
1,40,1,22,1,-1,3,7,4,19
2,43,1,66,1,-1,7,5,31,17
2,44,2,67,1,-1,10,2,40,8
1,43,4,53,1,-1,8,2,32,3
2,44,4,49,1,-1,9,2,36,3
1,41,6,40,1,-1,10,3,40,14
2,43,1,70,1,-1,13,3,51,12
2,46,2,67,1,-1,10,2,42,10
1,39,1,50,1,-1,3,7,4,19
2,39,1,42,3,4,5,10,22,22
2,40,1,59,1,-1,10,2,40,8
2,44,1,27,1,-1,10,2,40,8
1,43,1,26,1,-1,5,2,22,3
1,39,1,76,1,-1,10,3,40,14
2,39,1,23,1,-1,10,3,42,11
2,39,1,65,1,-1,9,3,38,14
2,39,1,58,1,-1,8,5,32,17
2,43,1,64,1,-1,7,1,25,1
1,43,1,69,1,-1,7,1,25,1
1,39,1,52,1,-1,5,10,22,22
1,44,4,32,1,-1,9,2,36,4
1,44,1,32,1,-1,10,2,40,8
2,43,2,37,1,-1,10,2,40,8
1,43,4,28,1,-1,13,2,51,4
2,40,2,62,1,-1,13,1,51,1
1,43,2,59,1,-1,7,1,31,1
1,44,1,52,1,-1,10,2,40,8
1,45,1,50,1,-1,5,2,22,7
2,40,2,35,1,-1,4,2,19,4
2,44,2,40,1,-1,13,1,51,1
1,42,2,41,3,3,3,7,4,19
1,44,1,29,1,-1,9,1,36,2
1,43,1,30,1,-1,8,2,32,3
1,40,1,39,1,-1,12,1,49,1
2,44,1,37,1,-1,12,4,49,16
1,44,1,76,2,-1,11,2,44,9
2,43,1,37,1,-1,7,2,27,9
1,45,1,27,1,-1,13,2,51,7
2,44,1,37,1,-1,12,1,49,1
1,43,1,33,1,-1,10,2,40,8
2,33,4,71,1,-1,12,3,50,14
2,44,1,36,1,-1,9,1,36,1
2,44,1,46,1,-1,10,2,40,8
1,43,1,41,1,-1,13,1,51,1
1,44,1,34,1,-1,8,1,32,2
1,43,2,24,1,-1,10,2,42,10
2,43,1,23,1,-1,11,4,46,16
1,44,1,29,1,-1,9,1,36,2
2,45,1,70,1,-1,9,1,36,2
1,44,1,58,1,-1,13,3,51,12
2,43,1,53,1,-1,12,1,49,2
1,44,1,57,1,-1,10,2,40,8
2,39,2,38,1,-1,10,3,42,11
2,39,2,60,4,26,9,1,36,2
1,43,1,40,1,-1,8,1,32,2
2,44,1,41,1,-1,12,2,49,5
2,43,1,55,1,-1,13,2,51,3
2,44,1,27,1,-1,7,1,31,1
2,41,2,56,1,-1,9,5,38,17
2,42,2,35,1,-1,13,2,51,3
1,39,2,24,2,-1,5,3,22,12
1,39,2,20,1,-1,11,1,46,1
1,43,2,40,1,-1,9,2,36,9
