pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1,gtcbsa
1,40,2,49,1,-1,10,10,42,22,47900
2,43,1,51,1,-1,9,1,36,2,47900
1,44,1,48,1,-1,9,2,36,4,47900
2,45,1,48,1,-1,9,2,36,7,47900
2,45,1,57,1,-1,13,2,51,7,47900
1,43,1,40,1,-1,12,2,49,9,47900
1,44,4,40,1,-1,13,2,51,5,47900
2,43,1,37,1,-1,10,1,42,1,47900
1,46,1,26,1,-1,13,2,51,5,47900
2,44,1,36,1,-1,10,1,42,1,47900
1,44,1,38,1,-1,7,2,27,9,47900
2,44,1,36,1,-1,13,2,51,5,47900
2,43,1,34,1,-1,7,2,25,9,47900
1,43,1,69,2,-1,5,1,22,1,37460
1,40,3,54,1,-1,4,2,10,4,33100
1,42,1,64,1,-1,8,8,34,20,33100
2,42,1,63,1,-1,10,2,42,10,33100
2,46,1,58,1,-1,4,2,19,5,33100
2,44,6,60,1,-1,9,8,36,20,27260
1,44,1,60,1,-1,10,1,41,1,27260
1,42,1,21,1,-1,9,2,36,7,27260
1,43,1,23,1,-1,12,3,48,15,27260
1,39,2,50,1,-1,8,4,34,16,34940
1,40,1,25,1,-1,12,1,49,1,34940
2,43,1,37,1,-1,8,1,32,2,34940
1,43,1,32,1,-1,8,2,32,3,27260
2,43,1,33,1,-1,10,2,40,10,27260
1,42,2,39,1,-1,3,7,4,19,27260
1,39,2,62,2,-1,8,3,34,14,27260
1,39,1,32,1,-1,6,8,23,20,27260
1,43,1,36,1,-1,8,10,32,22,27260
2,39,1,35,1,-1,10,2,41,10,27260
2,36,2,42,1,-1,11,3,45,14,27260
1,42,1,42,1,-1,11,1,46,1,27260
2,39,1,79,1,-1,12,3,50,15,27260
2,44,2,40,1,-1,10,1,40,1,27260
1,43,2,55,1,-1,5,10,22,22,27260
2,40,1,62,2,-1,8,1,33,2,27260
1,39,2,33,1,-1,6,10,23,22,45300
1,39,1,66,1,-1,9,3,38,14,45300
1,46,1,36,1,-1,10,2,42,10,45300
2,41,2,33,1,-1,10,3,42,11,45300
1,39,1,46,1,-1,11,1,45,1,15980
2,46,1,61,1,-1,5,4,22,16,15980
1,40,1,46,1,-1,4,1,7,2,15980
2,42,1,46,1,-1,11,3,46,13,15980
1,40,1,56,1,-1,3,10,4,22,19660
1,46,4,65,1,-1,10,2,40,8,33100
2,44,4,58,1,-1,10,2,40,8,33100
1,39,1,43,1,-1,9,1,36,2,33100
2,43,1,37,1,-1,9,1,36,1,33100
1,43,1,36,1,-1,6,10,23,22,33100
1,43,1,50,1,-1,6,5,23,17,33100
1,42,1,47,1,-1,3,7,4,19,33100
2,42,1,47,1,-1,10,2,42,10,33100
2,39,1,26,1,-1,11,5,45,17,33100
2,39,1,47,1,-1,10,3,42,11,33100
2,43,1,44,1,-1,10,3,43,15,33100
1,39,1,26,1,-1,5,4,22,16,33100
2,40,1,22,1,-1,5,4,22,16,33100
2,39,1,21,1,-1,10,3,42,15,33100
2,39,1,56,1,-1,11,9,46,21,33100
2,43,1,26,1,-1,9,2,36,4,33100
1,39,1,39,1,-1,3,7,4,19,33100
1,43,1,60,1,-1,11,10,46,22,33100
1,42,1,57,1,-1,3,7,4,19,33100
1,39,1,31,1,-1,9,10,39,22,33100
1,38,1,31,1,-1,3,7,4,19,33100
2,38,1,28,1,-1,5,5,22,17,33100
1,43,1,26,1,-1,8,5,32,17,33100
2,43,1,29,1,-1,8,4,34,16,33100
1,43,1,58,1,-1,8,5,32,17,33100
2,43,1,56,1,-1,8,4,34,16,33100
1,43,1,49,1,-1,10,1,40,1,33100
2,44,1,47,1,-1,4,1,10,1,33100
2,43,1,36,1,-1,10,2,41,10,33100
1,39,1,35,1,-1,13,3,51,12,33100
2,43,1,28,1,-1,8,4,34,16,33100
1,39,1,29,1,-1,6,10,23,22,33100
2,39,1,25,1,-1,5,4,22,16,33100
1,45,2,40,1,-1,6,5,23,17,33100
1,34,2,16,1,-1,1,6,1,18,33100
2,39,2,33,1,-1,5,4,22,16,33100
1,43,1,40,1,-1,6,9,23,21,36740
1,43,1,56,1,-1,3,7,4,19,33100
2,43,1,57,1,-1,12,2,48,8,33100
1,39,1,57,1,-1,3,1,4,1,33100
2,39,1,57,1,-1,12,1,50,1,33100
2,44,1,68,1,-1,9,1,36,1,33100
1,40,4,19,4,5,-1,-1,-1,-1,33100
1,44,1,36,1,-1,4,2,10,4,33100
1,46,1,37,1,-1,10,2,42,10,33100
2,43,1,35,1,-1,8,4,34,16,33100
2,39,1,23,1,-1,5,3,22,15,33100
1,43,2,56,1,-1,4,9,8,21,33100
1,40,2,56,1,-1,10,3,42,14,33100
2,39,2,54,1,-1,5,4,22,16,33100
1,39,1,55,1,-1,5,8,21,20,33100
1,42,4,52,1,-1,3,8,4,20,33100
2,32,6,47,1,-1,9,3,38,14,33100
1,32,6,55,1,-1,9,3,38,14,33100
2,33,6,23,1,-1,9,3,38,14,33100
1,33,6,34,1,-1,9,3,38,14,33100
2,38,4,49,1,-1,6,10,23,22,45300
1,42,1,50,1,-1,9,5,36,17,45300
2,42,1,75,1,-1,10,5,42,17,45300
1,40,1,80,2,-1,3,1,4,1,29460
2,39,1,66,1,-1,9,2,36,7,29460
1,39,2,60,1,-1,9,3,38,12,45220
2,42,1,39,1,-1,13,3,51,12,0
2,45,1,61,1,-1,8,4,33,16,45300
2,43,2,47,1,-1,10,2,43,6,45300
1,40,2,43,1,-1,9,10,39,22,45300
2,39,2,38,1,-1,6,5,23,17,38940
2,43,2,57,1,-1,8,5,33,17,19660
1,42,2,34,1,-1,5,4,22,16,19660
2,43,2,32,4,39,10,2,40,5,19660
2,34,2,43,4,39,5,4,22,16,36740
1,40,2,37,1,-1,8,3,34,14,45220
2,43,1,32,1,-1,11,1,46,1,19660
2,41,1,41,1,-1,10,5,42,17,12060
2,36,1,17,1,-1,11,3,46,13,12060
1,43,1,48,1,-1,3,8,4,20,0
2,41,2,42,1,-1,10,3,42,11,0
2,39,2,20,1,-1,11,3,46,13,0
2,44,10,62,1,-1,10,2,41,6,16860
1,39,1,85,1,-1,4,1,11,1,16860
1,37,2,59,1,-1,9,3,38,14,12260
2,43,1,51,1,-1,4,1,13,1,12060
1,39,1,29,1,-1,11,1,46,1,0
1,43,1,61,1,-1,4,2,8,4,12060
2,44,1,61,1,-1,4,5,17,17,12060
2,44,1,26,1,-1,10,2,40,8,12060
1,44,2,65,1,-1,9,5,38,17,12060
1,39,1,52,4,10,6,10,23,22,12060
2,43,1,58,1,-1,9,1,36,2,12060
1,40,1,60,1,-1,4,9,6,21,12060
2,39,1,27,1,-1,8,4,34,16,12060
1,39,2,44,1,-1,6,10,23,22,12060
1,39,1,58,1,-1,9,3,38,12,12060
2,39,1,20,1,-1,11,1,46,1,12060
2,46,1,57,1,-1,10,2,40,8,12060
1,44,2,45,1,-1,5,4,22,16,12060
2,46,1,44,1,-1,13,2,51,5,12060
1,44,4,42,1,-1,8,2,32,3,12060
1,43,1,46,1,-1,5,10,22,22,12060
