pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1,gtcbsa
2,43,1,54,1,-1,10,1,40,1,41620
2,36,1,46,1,-1,9,3,38,14,41620
1,36,1,48,1,-1,6,5,23,17,41620
1,39,1,17,1,-1,3,7,4,19,41620
1,40,1,67,2,-1,8,4,34,16,41620
2,41,1,61,1,-1,10,5,40,17,41620
1,43,1,36,1,-1,8,4,33,16,39340
1,43,1,40,1,-1,7,1,26,1,39340
2,43,1,40,1,-1,8,4,33,16,39340
1,39,1,56,1,-1,3,1,4,1,39340
2,42,1,53,1,-1,10,2,42,10,39340
1,43,1,32,1,-1,9,1,36,1,39340
2,40,1,39,1,-1,10,5,41,17,39340
1,39,1,41,1,-1,3,1,4,1,39340
2,43,1,34,1,-1,8,1,34,1,39340
1,44,1,41,1,-1,13,5,51,17,39340
1,39,1,58,1,-1,10,10,41,22,39340
1,37,1,20,4,52,11,3,46,13,39340
1,39,1,48,1,-1,3,7,4,19,39340
2,41,1,44,1,-1,3,5,4,17,39340
2,39,1,18,1,-1,11,3,46,13,39340
2,39,1,17,2,-1,12,3,50,15,39340
1,43,1,62,1,-1,5,2,22,3,39340
2,43,1,40,1,-1,12,2,48,5,39340
1,44,1,43,1,-1,10,2,40,8,39340
2,39,1,55,1,-1,5,5,22,17,39340
1,38,1,25,1,-1,5,9,22,21,39340
1,39,1,19,1,-1,3,10,4,22,39340
2,38,1,34,1,-1,5,4,22,16,39340
2,43,1,69,1,-1,10,1,40,1,39340
1,43,1,71,1,-1,10,3,40,14,39340
1,43,1,40,4,60,9,5,38,17,39340
2,43,1,28,1,-1,5,5,22,17,39340
1,40,1,29,1,-1,8,4,33,16,39340
1,43,1,32,4,8,4,5,8,17,39340
2,43,1,26,1,-1,5,5,22,17,39340
1,39,1,61,1,-1,4,10,19,22,39340
2,39,1,64,1,-1,4,5,19,17,39340
2,46,1,41,1,-1,13,2,51,7,0
1,46,1,42,1,-1,10,2,42,10,0
2,43,1,42,1,-1,9,1,36,2,39340
1,43,1,68,1,-1,9,8,38,20,39340
2,44,1,59,1,-1,10,2,40,8,0
1,40,1,60,1,-1,6,10,23,22,0
1,40,1,18,1,-1,9,3,38,14,0
2,43,1,29,1,-1,8,1,32,2,0
2,43,1,69,1,-1,5,5,21,17,0
2,44,1,47,1,-1,10,2,40,8,36260
1,40,1,48,1,-1,13,2,51,4,36260
1,37,1,17,1,-1,10,3,40,14,36260
1,42,1,30,2,-1,5,4,22,16,36260
1,41,1,25,1,-1,4,3,14,13,36260
1,43,1,37,1,-1,4,4,8,16,0
2,43,1,36,1,-1,9,4,36,16,0
1,42,1,35,1,-1,9,2,36,3,0
1,40,1,70,1,-1,5,4,22,16,41620
1,41,1,21,1,-1,10,2,40,3,36260
1,43,1,46,1,-1,9,5,36,17,36260
2,44,1,43,1,-1,10,1,42,2,36260
2,44,1,54,1,-1,9,5,36,17,36260
1,42,2,23,4,6,10,3,40,14,36260
1,40,2,52,1,-1,6,10,23,22,36260
2,43,1,54,1,-1,9,1,38,1,0
2,41,1,38,1,-1,8,1,32,1,36260
2,40,1,40,1,-1,4,9,7,21,36260
1,43,1,33,1,-1,13,1,51,2,28420
2,42,1,26,1,-1,10,3,42,11,0
1,39,1,20,1,-1,5,10,21,22,0
2,43,1,41,1,-1,11,1,44,2,38900
1,40,1,45,1,-1,3,1,4,1,38900
2,44,1,45,1,-1,9,1,37,1,38900
1,43,1,48,1,-1,13,1,51,1,38900
1,44,1,55,1,-1,10,2,40,8,38900
2,44,1,56,1,-1,10,2,40,8,38900
1,38,2,48,1,-1,4,9,19,21,38900
1,39,2,19,4,17,11,4,44,16,38900
1,39,1,40,1,-1,9,3,38,14,38900
1,42,8,34,1,-1,3,5,4,17,38900
1,39,1,53,1,-1,3,7,4,19,34580
2,39,1,53,1,-1,10,5,42,17,34580
2,43,1,57,2,-1,10,3,42,11,44060
1,43,1,61,1,-1,4,9,12,21,44060
2,44,1,52,1,-1,4,2,7,10,0
1,42,1,55,1,-1,6,1,23,1,0
2,40,1,42,1,-1,5,4,22,16,42660
1,38,1,21,1,-1,11,3,46,13,42660
2,43,1,57,1,-1,10,2,41,10,0
1,44,1,66,1,-1,10,2,40,8,0
1,42,1,72,1,-1,4,9,17,21,0
2,42,1,27,1,-1,10,5,40,17,0
1,42,3,40,1,-1,5,4,22,16,0
1,39,1,69,1,-1,3,7,4,19,34580
1,40,1,39,1,-1,3,7,4,19,0
2,43,1,35,1,-1,1,2,2,5,28420
2,43,1,31,1,-1,13,1,51,1,28420
1,41,5,48,1,-1,5,8,21,20,44060
1,39,1,21,1,-1,3,7,4,19,0
2,38,1,18,1,-1,5,4,22,16,0
2,39,1,27,2,-1,4,9,14,21,0
1,31,1,55,1,-1,1,6,1,18,0
1,31,1,46,1,-1,1,6,1,18,0
2,36,1,17,1,-1,11,5,46,17,0
2,39,1,31,1,-1,4,9,14,21,0
1,31,1,37,1,-1,1,6,1,18,0
1,39,1,67,1,-1,12,5,47,17,0
2,46,1,47,1,-1,13,2,51,10,42660
1,43,6,48,1,-1,9,1,38,1,42660
1,43,4,36,1,-1,9,3,38,12,42660
2,40,4,29,1,-1,5,10,22,22,42660
1,43,1,51,1,-1,8,1,33,2,42660
2,44,4,51,1,-1,5,2,22,3,42660
1,43,1,33,1,-1,10,1,42,1,42660
1,43,4,53,1,-1,9,2,36,5,42660
1,43,1,25,1,-1,7,4,30,16,42660
2,43,1,25,1,-1,9,1,36,2,42660
2,41,1,70,4,3,10,2,40,8,42660
1,42,1,61,1,-1,6,10,23,22,42660
2,39,1,60,1,-1,10,3,42,13,42660
2,45,1,52,1,-1,10,2,41,10,42660
1,44,4,27,1,-1,6,1,23,2,42660
1,43,1,40,1,-1,11,1,46,1,42660
2,34,5,49,1,-1,6,10,23,22,42660
2,39,5,37,1,-1,11,3,44,14,42660
2,46,4,32,1,-1,10,2,42,10,42660
1,44,1,32,1,-1,5,2,22,3,42660
1,39,1,57,1,-1,6,7,24,19,42660
1,43,5,38,1,-1,9,2,36,3,42660
2,44,2,42,1,-1,13,2,51,4,42660
1,43,1,39,1,-1,9,2,36,3,42660
1,39,1,57,4,30,3,7,4,19,42660
1,42,4,36,1,-1,6,5,23,17,42660
2,39,4,35,1,-1,12,3,48,15,42660
1,43,1,30,1,-1,3,2,4,4,42660
2,43,1,30,1,-1,4,2,19,4,42660
2,43,4,29,1,-1,4,1,8,1,42660
1,39,1,37,1,-1,11,3,46,13,42660
1,44,1,27,1,-1,4,1,10,2,42660
2,43,1,47,1,-1,9,2,36,9,42660
1,40,1,36,1,-1,5,3,22,15,42660
2,44,1,57,1,-1,10,2,43,10,42660
1,39,1,45,1,-1,3,7,4,19,0
2,42,1,45,1,-1,10,2,40,10,0
1,43,1,72,4,7,1,3,2,12,0
1,38,1,18,1,-1,1,6,1,18,0
1,43,1,38,1,-1,13,1,51,1,0
2,41,1,40,1,-1,12,3,48,15,0
2,40,1,19,1,-1,10,3,43,15,0
2,39,1,59,2,-1,4,1,17,1,42660
1,39,1,63,2,-1,4,1,12,1,42660
1,39,1,46,1,-1,4,8,10,20,42660
1,43,1,59,1,-1,13,5,51,17,42660
2,44,1,56,1,-1,10,2,40,8,42660
1,39,1,37,1,-1,4,7,9,19,42660
2,40,1,36,1,-1,12,9,47,21,42660
1,39,1,37,1,-1,13,3,51,14,42660
2,39,1,53,1,-1,10,2,42,10,42660
1,43,1,39,1,-1,9,1,36,1,42660
1,43,1,35,1,-1,13,2,51,5,42660
2,43,1,36,1,-1,13,2,51,5,42660
2,40,1,40,1,-1,10,2,41,3,34580
1,40,1,42,1,-1,4,10,19,22,34580
2,39,1,52,1,-1,10,3,42,11,34580
1,42,1,28,1,-1,6,10,23,22,34580
1,44,1,65,1,-1,10,1,41,1,28420
2,40,1,57,1,-1,10,5,40,17,38900
1,40,1,58,1,-1,12,8,47,20,38900
1,46,1,57,1,-1,4,1,8,1,38900
2,43,1,58,1,-1,10,2,43,8,38900
2,43,1,55,1,-1,10,3,42,11,42660
1,44,1,54,1,-1,10,2,40,8,42660
2,40,1,21,3,3,10,3,43,15,42660
1,44,1,53,1,-1,9,1,36,2,42660
2,40,1,19,4,4,10,3,40,15,42660
2,39,1,22,1,-1,5,5,22,17,42660
1,43,4,37,1,-1,9,2,36,3,42660
2,43,4,41,1,-1,9,2,36,3,42660
1,43,1,22,1,-1,5,4,22,16,42660
2,43,1,22,1,-1,10,3,41,11,42660
2,43,4,42,1,-1,9,2,36,5,42660
1,39,4,42,1,-1,3,2,4,4,42660
2,43,1,66,1,-1,10,2,40,3,44060
1,40,1,26,1,-1,5,4,22,16,44060
1,34,5,46,3,5,11,3,44,13,44060
2,39,5,36,1,-1,11,3,44,14,44060
1,40,1,56,1,-1,8,2,32,3,0
1,43,1,52,1,-1,10,3,41,11,44060
2,37,1,49,1,-1,13,5,51,17,44060
1,42,6,28,1,-1,10,3,42,11,0
2,39,1,29,1,-1,5,4,22,16,0
1,39,1,62,1,-1,11,3,46,13,42660
2,40,1,20,1,-1,8,5,32,17,0
1,39,1,31,1,-1,1,8,1,20,0
1,32,1,59,1,-1,1,1,1,1,0
2,34,1,48,1,-1,1,1,1,1,0
2,39,1,21,1,-1,1,6,1,18,0
1,43,1,50,1,-1,6,5,23,17,48140
2,43,1,52,1,-1,10,2,40,8,48140
2,39,1,23,1,-1,6,10,23,22,48140
1,37,1,18,1,-1,3,7,4,19,48140
1,39,1,59,1,-1,5,9,22,21,11540
2,39,1,60,1,-1,10,1,41,1,11540
1,40,1,29,1,-1,4,9,12,21,0
1,41,1,62,1,-1,5,8,22,20,0
1,41,1,49,1,-1,3,7,4,19,24580
2,43,1,43,1,-1,10,1,41,2,24580
1,41,1,38,1,-1,8,4,34,16,24580
2,39,1,34,1,-1,13,2,51,7,24580
1,38,1,65,1,-1,12,9,47,21,0
2,39,1,64,1,-1,5,4,22,16,0
2,39,1,63,1,-1,1,1,1,1,0
1,39,1,64,1,-1,1,1,1,1,0
2,43,1,49,1,-1,4,2,14,3,0
2,39,1,22,1,-1,11,3,46,13,16980
1,39,1,21,1,-1,3,7,4,19,16980
1,43,1,33,1,-1,3,7,4,19,16980
1,43,1,56,1,-1,9,2,36,3,31540
2,43,1,57,1,-1,11,1,44,1,31540
1,41,1,61,1,-1,9,2,36,4,31540
2,39,1,60,1,-1,13,1,51,1,31540
1,41,1,64,1,-1,13,1,51,1,31540
2,42,1,66,1,-1,8,5,33,17,31540
1,40,1,53,1,-1,9,3,38,14,0
2,37,1,16,1,-1,10,3,43,15,0
1,39,1,38,1,-1,5,10,21,22,0
2,43,1,37,1,-1,11,3,46,13,0
1,40,1,80,1,-1,6,10,23,22,0
1,38,1,77,1,-1,9,3,38,14,33460
2,40,1,36,1,-1,10,2,42,10,0
1,40,1,38,1,-1,3,7,4,19,0
2,37,1,55,1,-1,4,10,6,22,0
1,43,1,42,1,-1,10,2,40,5,31540
1,39,1,23,1,-1,9,3,38,14,0
2,40,1,27,1,-1,10,3,42,11,16980
2,39,1,47,1,-1,8,1,32,2,24580
1,39,1,41,1,-1,8,1,34,1,24580
1,35,1,15,1,-1,11,3,44,15,24580
1,40,1,46,1,-1,3,7,4,19,0
2,42,1,60,1,-1,10,2,41,3,0
2,41,1,48,1,-1,9,5,36,17,24580
2,39,1,57,1,-1,13,5,51,17,24580
1,43,1,65,1,-1,4,9,11,21,24580
1,43,1,32,1,-1,4,2,7,4,39540
2,43,3,33,1,-1,4,1,7,2,39540
2,35,4,59,1,-1,9,2,36,9,48140
2,44,1,54,1,-1,5,4,22,16,33340
1,44,1,39,1,-1,10,2,40,8,33460
1,40,2,33,1,-1,9,3,38,12,33340
1,39,2,33,4,9,6,10,23,22,33340
2,39,1,64,1,-1,9,4,38,16,33340
1,43,1,34,1,-1,5,4,22,16,33340
2,43,1,28,1,-1,10,2,42,10,33340
1,40,2,24,1,-1,10,2,42,10,33340
2,43,1,42,1,-1,8,1,32,2,33340
1,39,1,45,1,-1,4,9,6,21,33340
1,36,1,17,4,1,-1,-1,-1,-1,33340
1,39,1,46,1,-1,13,3,51,12,33340
2,36,1,17,1,-1,11,2,44,8,33340
1,39,1,42,1,-1,3,7,4,19,33340
2,35,2,28,1,-1,13,3,51,11,33340
2,39,2,55,1,-1,10,1,43,1,33340
1,42,1,30,1,-1,5,3,22,14,0
1,42,1,42,1,-1,5,4,22,16,0
2,40,1,35,1,-1,11,5,45,17,0
2,39,1,38,1,-1,4,9,17,21,33460
2,37,1,18,1,-1,11,4,46,16,33460
2,36,1,16,2,-1,11,3,46,13,33460
1,39,1,42,1,-1,4,10,7,22,33460
2,39,8,30,1,-1,6,4,23,16,33340
1,39,1,29,1,-1,5,4,22,16,33340
1,39,1,44,1,-1,3,7,4,19,33340
2,39,1,42,1,-1,5,1,22,2,33340
1,43,1,57,1,-1,1,3,2,15,0
1,41,1,57,1,-1,3,8,4,20,0
2,44,1,34,1,-1,10,2,40,8,27500
1,39,1,31,1,-1,5,2,21,9,27500
1,46,2,60,1,-1,13,2,51,7,16980
1,39,1,78,4,4,3,1,4,1,0
2,40,1,64,1,-1,10,5,40,17,24580
1,40,1,70,1,-1,10,3,40,14,24580
2,44,1,60,1,-1,10,1,40,1,0
2,43,8,45,1,-1,13,1,51,2,33340
1,39,1,43,1,-1,3,1,4,1,33340
2,39,1,40,1,-1,10,1,41,1,33340
1,40,1,59,2,-1,5,8,22,20,33340
2,43,1,51,2,-1,8,1,32,2,33340
1,44,1,67,1,-1,10,2,40,8,33340
2,41,1,66,1,-1,10,3,42,11,33340
1,43,1,56,1,-1,6,2,24,3,33340
2,39,1,54,1,-1,5,4,22,16,33340
2,40,1,25,1,-1,9,5,36,17,33340
2,40,1,22,1,-1,5,2,22,10,33340
2,43,1,51,1,-1,10,2,42,10,33340
1,44,1,54,1,-1,8,1,34,1,33340
1,40,1,21,1,-1,8,5,32,17,33340
1,43,1,37,1,-1,9,1,36,1,33340
2,44,1,36,1,-1,10,2,41,10,33340
2,41,1,59,1,-1,10,2,40,3,33340
2,40,1,36,1,-1,4,5,17,17,33340
2,43,1,48,1,-1,10,2,42,10,0
1,40,1,51,1,-1,5,4,21,16,0
1,40,1,20,1,-1,11,3,46,13,0
1,37,1,19,1,-1,5,10,22,22,0
1,40,1,62,1,-1,5,4,22,16,0
1,40,4,34,1,-1,5,4,22,16,0
1,39,1,44,1,-1,4,10,6,22,24580
2,39,1,38,1,-1,5,4,22,16,24580
2,40,1,59,1,-1,5,4,22,16,0
2,41,1,62,2,-1,10,5,40,17,0
1,41,1,65,1,-1,10,3,40,14,0
1,39,1,18,1,-1,10,3,40,14,0
1,38,1,17,1,-1,10,3,40,14,0
1,34,1,20,1,-1,3,7,4,19,0
2,40,1,40,1,-1,10,2,40,8,0
1,39,1,46,1,-1,9,3,38,14,0
2,43,1,34,2,-1,10,2,40,8,33340
1,39,1,27,1,-1,4,9,12,21,0
2,42,1,56,1,-1,4,5,15,17,0
2,39,1,56,1,-1,8,9,33,21,0
2,40,1,65,1,-1,10,3,43,15,0
1,39,1,61,1,-1,6,10,23,22,0
1,40,1,51,1,-1,5,10,22,22,0
1,41,1,38,1,-1,10,2,40,8,0
2,43,1,26,2,-1,10,2,40,10,0
1,44,1,33,1,-1,5,2,21,4,0
1,40,1,33,1,-1,9,2,38,4,0
2,41,1,43,1,-1,7,2,31,8,0
1,40,1,43,1,-1,2,7,3,19,0
2,36,1,17,1,-1,9,3,38,14,0
2,43,1,40,1,-1,8,5,32,17,0
1,42,1,48,1,-1,5,8,22,20,0
2,44,1,75,1,-1,11,2,44,3,0
1,40,1,77,1,-1,9,2,36,3,0
2,39,1,53,4,10,5,8,21,20,0
1,41,1,65,1,-1,4,1,10,1,0
2,39,1,32,1,-1,10,3,43,15,0
2,39,1,27,1,-1,5,4,22,16,0
2,39,1,40,1,-1,5,10,22,22,0
1,39,1,36,1,-1,6,10,23,22,0
1,43,1,56,1,-1,13,3,51,12,0
2,43,1,71,1,-1,5,3,22,12,0
2,43,1,33,1,-1,10,5,41,17,0
2,40,1,60,1,-1,8,1,32,1,0
1,43,1,62,1,-1,8,1,32,1,0
2,43,1,58,1,-1,10,2,40,8,0
1,46,1,45,4,3,10,2,40,8,0
2,46,2,42,1,-1,10,2,42,10,0
1,40,1,33,1,-1,5,4,22,16,0
2,39,1,36,1,-1,10,2,40,8,0
2,42,1,35,1,-1,10,2,42,10,0
2,39,1,43,1,-1,5,4,21,16,0
1,39,1,45,1,-1,2,7,3,19,0
1,37,1,17,1,-1,11,3,46,13,0
1,39,1,23,1,-1,11,1,46,1,0
1,39,1,24,1,-1,11,1,46,1,0
1,39,1,25,1,-1,5,4,22,16,0
2,39,2,36,1,-1,10,5,41,17,0
2,42,4,36,1,-1,9,5,38,17,0
2,43,1,73,1,-1,9,2,36,7,0
1,43,1,76,1,-1,8,5,32,17,0
1,43,1,48,1,-1,11,8,44,20,0
1,43,1,60,2,-1,10,2,40,8,0
2,44,1,57,1,-1,10,1,40,1,0
1,39,1,55,1,-1,4,5,18,17,0
2,39,1,54,1,-1,6,3,23,14,0
1,39,7,60,1,-1,3,7,4,19,0
2,39,1,60,1,-1,5,4,22,16,0
1,39,1,30,1,-1,9,1,36,1,0
2,43,1,28,1,-1,10,2,41,10,0
1,39,1,38,1,-1,2,10,3,22,0
2,39,1,33,1,-1,6,5,23,17,0
1,40,1,37,1,-1,5,8,21,20,0
2,39,1,32,1,-1,12,1,48,1,0
2,36,1,18,1,-1,11,3,46,13,0
1,35,1,68,1,-1,2,7,3,19,0
1,42,1,75,1,-1,10,2,41,10,0
2,40,4,74,4,7,9,3,38,14,0
1,42,1,54,1,-1,6,8,23,20,0
1,43,1,72,1,-1,8,4,33,16,0
2,43,1,68,1,-1,8,1,34,1,0
1,39,1,51,1,-1,10,2,41,3,0
2,41,1,51,1,-1,10,1,41,1,0
2,43,1,25,1,-1,10,5,42,17,0
2,40,1,60,1,-1,9,5,38,17,0
2,44,1,64,1,-1,12,2,49,10,0
1,43,1,42,1,-1,10,2,40,8,0
2,39,1,55,1,-1,12,3,50,14,0
1,34,1,68,1,-1,6,10,23,22,0
1,34,1,20,1,-1,3,7,4,19,0
2,40,6,19,1,-1,11,4,46,16,0
2,44,1,48,1,-1,10,2,41,10,0
1,43,3,47,2,-1,10,1,40,1,0
2,43,1,52,1,-1,11,2,44,9,0
2,40,1,20,1,-1,10,2,40,3,0
2,36,1,16,1,-1,11,3,46,13,0
1,39,1,28,2,-1,9,2,36,3,38060
1,44,1,67,1,-1,10,5,40,17,38060
1,44,1,44,1,-1,10,5,40,17,38060
2,32,1,45,1,-1,6,5,23,17,38060
1,44,1,24,1,-1,9,2,36,3,38060
2,41,1,77,1,-1,8,1,33,2,38060
2,46,1,71,1,-1,10,2,40,8,38060
1,44,1,57,1,-1,4,1,10,2,38060
2,42,1,57,1,-1,10,1,40,1,38060
2,43,1,24,2,-1,10,2,40,8,38060
1,39,1,63,1,-1,4,9,10,21,38060
1,39,1,38,2,-1,11,3,46,13,38060
1,43,1,37,1,-1,6,2,24,4,46060
1,40,1,46,1,-1,13,3,51,12,46060
2,40,1,57,1,-1,4,9,14,21,0
1,39,1,59,1,-1,6,10,23,22,0
1,33,1,62,2,-1,6,10,23,22,0
2,44,1,35,1,-1,10,2,42,10,0
1,40,1,75,1,-1,1,1,1,1,22220
1,39,1,53,1,-1,3,1,4,1,22220
2,40,1,19,1,-1,10,2,40,3,22220
1,42,1,51,1,-1,3,2,4,4,0
2,42,1,54,1,-1,3,5,4,17,0
1,44,1,52,1,-1,13,1,51,2,38220
2,43,1,46,1,-1,5,2,22,4,38220
1,40,1,19,1,-1,11,3,46,13,38220
2,43,1,33,1,-1,10,2,40,8,0
1,40,1,35,1,-1,4,9,14,21,0
2,40,1,61,1,-1,9,5,38,17,0
1,39,1,21,4,52,-1,-1,-1,-1,0
2,41,1,59,1,-1,10,1,42,1,38220
1,42,1,30,4,2,12,3,48,15,38220
1,44,1,60,1,-1,10,1,41,1,22220
2,43,1,58,1,-1,10,2,40,8,22220
2,40,2,36,1,-1,11,5,45,17,0
2,40,2,36,2,-1,10,3,40,13,0
1,39,1,47,1,-1,4,9,13,21,0
2,44,1,44,1,-1,10,2,40,8,0
2,39,1,62,1,-1,5,4,22,16,0
2,39,1,22,1,-1,5,4,22,16,38220
2,43,1,40,1,-1,10,2,41,10,0
1,39,1,51,1,-1,12,8,47,20,0
2,39,1,32,1,-1,10,2,40,8,30780
1,39,1,36,1,-1,5,9,22,21,30780
2,40,1,39,1,-1,1,1,1,1,0
1,39,1,43,1,-1,1,1,1,1,0
1,42,1,55,1,-1,5,4,22,16,0
2,41,1,65,1,-1,9,2,38,9,30780
1,43,1,54,1,-1,3,1,4,1,30780
2,44,1,54,1,-1,10,2,41,8,30780
2,43,1,23,1,-1,11,3,46,13,30780
2,40,1,21,1,-1,10,3,40,15,30780
2,40,1,19,1,-1,13,2,51,6,30780
1,39,1,54,4,4,3,7,4,19,22900
1,44,1,63,1,-1,9,1,36,1,22220
1,40,2,48,1,-1,3,1,4,1,22220
1,43,1,46,1,-1,10,1,41,2,0
2,45,1,46,1,-1,13,2,51,8,0
2,40,1,78,2,-1,10,10,40,22,0
2,43,1,36,1,-1,10,1,42,1,0
1,44,15,68,1,-1,10,1,40,2,27980
1,43,1,56,1,-1,4,8,14,20,0
2,40,1,53,1,-1,9,2,36,9,0
2,44,4,34,2,-1,10,2,42,10,46520
2,32,4,60,1,-1,5,3,22,13,46520
2,39,15,66,1,-1,11,3,44,15,46520
2,41,21,29,1,-1,10,3,42,11,46520
2,43,21,28,4,3,-1,-1,-1,-1,46520
2,41,5,61,1,-1,10,3,43,11,46520
2,44,8,67,1,-1,13,5,51,17,46520
1,39,1,55,1,-1,13,4,51,16,46520
2,39,1,65,1,-1,10,5,42,17,46520
2,39,15,57,1,-1,8,3,33,11,46520
2,46,4,52,1,-1,10,2,40,5,46520
1,39,15,57,1,-1,3,1,4,1,46520
2,39,5,28,1,-1,6,5,23,17,46520
2,40,1,31,1,-1,6,5,23,17,0
1,40,5,65,1,-1,6,1,23,1,0
1,44,1,61,1,-1,12,3,48,11,0
2,42,1,36,1,-1,10,2,42,10,27980
1,39,1,35,1,-1,5,7,22,19,27980
1,43,1,49,1,-1,8,4,33,16,14260
2,43,1,45,1,-1,13,5,51,17,14260
2,37,1,19,1,-1,5,4,22,16,14260
1,34,1,16,1,-1,11,4,46,16,14260
2,42,1,61,2,-1,6,5,23,17,14260
1,42,4,54,1,-1,9,1,36,1,14260
2,44,4,64,1,-1,10,2,42,10,14260
1,40,1,70,1,-1,9,2,39,3,14260
1,43,1,49,1,-1,4,2,8,4,14260
2,44,1,46,1,-1,10,2,40,8,14260
1,43,1,44,1,-1,13,1,51,2,14260
2,43,1,44,1,-1,8,4,34,16,14260
1,39,1,18,1,-1,1,6,1,18,14260
1,39,1,18,1,-1,4,9,14,21,14260
1,40,1,56,1,-1,5,10,22,22,14260
1,39,1,18,4,22,12,3,48,15,14260
1,36,1,16,1,-1,9,3,38,14,14260
1,39,1,33,1,-1,3,7,4,19,14260
2,43,1,44,3,1,11,2,44,9,14260
1,43,1,45,1,-1,9,5,36,17,14260
2,40,1,28,1,-1,10,3,40,15,14260
1,43,1,29,1,-1,5,2,22,9,14260
1,40,1,30,1,-1,11,3,46,13,14260
2,43,1,24,1,-1,7,2,27,9,14260
1,40,1,33,1,-1,6,1,23,1,14260
2,43,1,29,1,-1,9,3,38,13,14260
1,43,1,35,1,-1,11,2,44,4,0
1,39,1,51,2,-1,4,1,14,1,14260
2,39,1,50,1,-1,13,5,51,17,14260
1,39,1,47,1,-1,3,10,4,22,14260
1,35,1,17,1,-1,9,3,38,14,14260
1,39,1,21,1,-1,3,3,4,12,14260
2,40,1,45,1,-1,9,5,38,17,14260
1,44,1,77,1,-1,5,10,22,22,14260
1,39,1,33,1,-1,5,10,22,22,14260
1,40,1,46,1,-1,11,2,44,8,14260
2,43,1,51,1,-1,13,5,51,17,26820
2,40,1,22,1,-1,10,5,41,17,26820
1,39,1,22,1,-1,4,8,14,20,26820
2,43,1,22,1,-1,5,5,22,17,26820
1,39,1,42,1,-1,6,10,23,22,0
2,43,1,52,1,-1,5,9,21,21,0
1,33,1,22,4,22,9,3,38,14,0
1,33,1,20,4,22,9,3,38,14,0
1,33,1,18,4,3,-1,-1,-1,-1,0
2,40,1,61,1,-1,5,5,22,17,0
1,40,1,60,1,-1,6,10,23,22,0
1,39,1,23,1,-1,1,9,2,21,0
2,43,1,24,1,-1,9,1,36,2,0
2,39,1,42,1,-1,10,2,40,8,0
1,43,1,29,1,-1,11,1,44,1,17660
1,37,1,47,1,-1,11,3,46,13,0
2,39,1,25,1,-1,8,5,33,17,0
1,39,1,45,1,-1,6,10,23,22,17660
2,39,1,43,1,-1,10,2,41,10,17660
2,39,1,21,1,-1,10,5,41,17,17660
1,39,1,18,1,-1,11,3,46,13,17660
1,34,1,80,1,-1,1,6,1,18,17660
2,39,1,36,1,-1,1,1,1,1,0
1,39,1,34,1,-1,1,6,1,18,0
2,34,1,16,2,-1,10,3,40,13,0
2,43,1,39,1,-1,10,2,40,8,0
1,43,1,39,1,-1,1,1,1,1,0
2,37,1,55,1,-1,6,10,23,22,0
1,37,1,29,1,-1,3,7,4,19,0
2,42,1,53,1,-1,1,1,1,1,23060
1,41,1,24,1,-1,3,7,4,19,31140
2,39,1,62,1,-1,10,3,41,14,16980
1,39,1,54,1,-1,3,7,4,19,16980
1,39,1,49,1,-1,3,1,4,1,0
2,43,1,47,2,-1,10,2,40,8,0
1,43,1,22,1,-1,5,10,22,22,0
1,39,1,21,1,-1,3,7,4,19,0
1,37,1,17,1,-1,11,3,46,13,0
2,35,1,15,1,-1,11,3,44,13,0
1,40,1,65,1,-1,4,8,12,20,0
1,39,1,45,1,-1,4,1,5,1,0
2,39,1,65,1,-1,8,5,32,17,0
1,43,1,42,1,-1,3,1,4,1,26900
1,44,2,53,1,-1,12,1,48,1,16980
2,41,6,53,1,-1,12,3,48,15,16980
2,43,1,28,1,-1,11,3,46,13,26900
1,40,1,29,1,-1,3,7,4,19,26900
1,39,2,35,1,-1,6,10,23,22,16980
1,41,1,65,1,-1,4,1,6,1,0
1,42,1,43,1,-1,4,9,10,21,0
1,39,1,27,1,-1,3,7,4,19,0
1,39,1,24,1,-1,5,10,21,22,0
1,36,1,24,4,15,3,7,4,19,0
2,43,2,32,1,-1,12,3,48,15,28140
2,43,1,67,1,-1,4,5,5,17,28140
1,40,1,56,1,-1,10,1,42,1,0
2,40,1,48,1,-1,5,5,22,17,0
1,45,1,32,1,-1,9,2,36,7,48620
2,43,1,33,1,-1,10,2,42,10,48620
1,40,1,67,1,-1,11,1,44,1,0
1,43,1,47,1,-1,9,1,36,2,45820
2,43,1,35,1,-1,5,4,22,16,45820
1,41,1,45,1,-1,12,8,47,20,48620
2,39,1,45,1,-1,9,4,38,16,48620
1,39,1,18,1,-1,4,9,10,21,48620
1,46,1,68,1,-1,9,2,36,7,45820
1,43,1,51,1,-1,10,3,42,11,44180
1,43,1,34,1,-1,6,4,23,16,28140
2,44,1,35,1,-1,9,5,36,17,28140
2,40,1,59,1,-1,6,1,23,1,28140
2,43,4,55,1,-1,10,5,40,17,13740
2,39,1,36,1,-1,10,3,43,15,0
1,39,1,32,1,-1,3,1,4,1,0
2,39,1,19,1,-1,11,10,46,22,0
1,39,1,20,1,-1,4,10,8,22,0
2,40,1,70,1,-1,11,5,44,17,0
1,39,1,70,1,-1,1,1,1,1,0
2,40,1,47,1,-1,10,3,43,11,0
1,40,1,48,1,-1,5,4,21,16,0
1,43,7,64,1,-1,8,5,33,17,0
