peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
38,2,33,1,-1,10,3,43,14
39,2,57,1,-1,10,2,42,10
43,1,36,1,-1,10,9,40,21
42,2,67,1,-1,5,2,22,10
39,1,40,1,-1,12,3,48,15
32,1,30,1,-1,3,7,4,19
40,2,38,1,-1,6,5,23,17
39,11,23,4,8,11,3,46,13
39,2,55,1,-1,4,10,11,22
39,2,49,1,-1,9,5,36,17
45,1,65,1,-1,5,9,22,21
40,1,63,1,-1,12,3,48,15
39,2,64,1,-1,5,5,22,17
42,1,24,1,-1,5,4,21,16
36,1,71,1,-1,3,7,4,19
36,1,60,1,-1,3,7,4,19
39,5,52,1,-1,9,3,38,14
40,1,59,1,-1,12,3,48,11
39,1,63,1,-1,5,5,22,17
40,4,55,1,-1,3,1,4,1
39,4,55,1,-1,10,1,42,1
43,4,23,1,-1,11,1,44,2
38,1,44,1,-1,10,10,43,22
38,1,35,1,-1,10,10,43,22
39,1,49,1,-1,12,8,47,20
43,1,47,1,-1,10,1,40,1
39,1,32,1,-1,5,4,22,16
39,2,50,1,-1,10,2,40,8
40,2,35,1,-1,6,10,23,22
40,2,33,1,-1,9,2,38,10
43,1,29,1,-1,13,1,51,1
43,1,28,1,-1,13,3,51,12
43,1,55,1,-1,13,3,51,12
43,1,47,1,-1,13,1,51,1
43,1,51,1,-1,9,1,36,1
39,1,21,1,-1,11,4,46,16
46,1,47,1,-1,10,2,40,10
40,1,30,1,-1,1,6,1,18
43,1,35,1,-1,10,2,40,8
43,1,38,1,-1,8,4,34,16
42,1,66,1,-1,4,5,7,17
43,1,65,1,-1,9,1,36,2
38,1,31,1,-1,9,3,38,12
39,1,26,1,-1,11,3,46,13
43,1,63,1,-1,8,1,32,2
39,1,59,1,-1,9,1,37,1
43,1,29,1,-1,9,4,36,16
33,1,32,1,-1,3,7,4,19
45,1,68,1,-1,9,2,36,7
43,2,31,1,-1,3,7,4,19
40,1,19,1,-1,5,9,21,21
39,1,49,1,-1,5,4,22,16
39,1,47,1,-1,9,3,38,14
39,1,40,1,-1,10,3,43,15
39,1,32,1,-1,6,5,23,17
32,1,60,1,-1,1,9,1,21
42,1,31,1,-1,10,2,42,10
42,1,30,1,-1,10,2,42,10
40,1,38,2,-1,3,2,4,3
43,1,40,3,4,11,2,44,9
43,1,56,1,-1,3,1,4,1
43,1,57,1,-1,12,2,48,8
39,1,57,1,-1,3,1,4,1
39,1,57,1,-1,12,1,50,1
39,1,31,1,-1,11,3,44,15
41,1,34,1,-1,13,3,51,12
39,1,36,1,-1,8,4,35,16
43,1,61,1,-1,5,4,22,16
46,1,44,1,-1,4,2,19,5
46,1,44,1,-1,6,4,24,16
42,1,40,1,-1,8,2,33,3
44,4,43,1,-1,7,2,29,3
43,1,58,1,-1,8,4,34,16
39,1,63,1,-1,8,1,34,1
39,1,75,1,-1,8,4,34,16
43,2,58,1,-1,10,2,42,10
44,1,58,1,-1,10,2,40,8
39,1,49,1,-1,11,1,46,1
43,1,50,1,-1,4,1,14,1
42,1,52,1,-1,5,4,22,16
39,1,71,1,-1,4,9,10,21
40,1,70,1,-1,12,5,49,17
39,1,54,1,-1,4,9,6,21
43,1,45,1,-1,13,1,51,2
40,2,23,1,-1,10,2,43,8
43,1,42,1,-1,10,2,40,8
44,1,44,1,-1,10,2,43,10
39,1,57,1,-1,12,3,48,11
39,1,40,1,-1,3,7,4,19
39,1,19,1,-1,11,3,46,13
37,1,18,1,-1,11,3,46,13
37,1,58,1,-1,3,7,4,19
40,1,45,1,-1,13,1,51,1
40,1,22,1,-1,13,5,51,17
40,1,62,1,-1,9,3,38,14
42,1,60,1,-1,10,5,40,17
44,1,45,1,-1,13,1,51,2
40,1,47,1,-1,12,1,47,1
44,1,65,1,-1,13,1,51,2
39,1,69,1,-1,5,10,22,22
43,1,34,1,-1,7,2,26,4
43,2,31,1,-1,9,2,36,4
40,1,23,1,-1,5,4,22,16
43,1,51,1,-1,10,2,42,10
40,1,50,1,-1,6,5,23,17
43,1,51,1,-1,10,2,42,10
39,1,63,1,-1,9,3,38,14
40,1,23,1,-1,12,3,50,15
39,1,64,1,-1,11,2,44,9
42,1,43,1,-1,10,3,42,11
39,1,23,7,-1,5,4,22,16
39,1,44,1,-1,6,8,24,20
40,1,39,1,-1,6,5,24,17
40,1,21,1,-1,8,5,32,17
43,1,26,1,-1,10,1,42,1
40,2,50,1,-1,10,2,42,8
39,2,55,1,-1,6,9,23,21
39,1,49,1,-1,5,4,22,16
43,1,54,1,-1,10,2,42,10
37,2,18,4,14,11,3,46,13
