pesex,peeduca,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
2,44,44,1,-1,13,1,51,2
1,40,42,1,-1,12,8,47,20
1,43,24,1,-1,13,2,51,7
1,43,24,1,-1,12,1,49,1
1,43,35,1,-1,13,5,51,17
1,43,35,1,-1,10,2,42,10
2,40,22,4,1,11,2,44,9
2,45,39,2,-1,3,1,4,2
2,43,28,1,-1,13,2,51,5
2,44,36,1,-1,5,4,22,16
2,43,36,1,-1,9,1,36,2
1,44,38,1,-1,13,2,51,3
2,46,36,1,-1,12,1,49,1
2,44,45,1,-1,7,2,31,8
2,44,40,1,-1,12,5,49,17
2,44,28,1,-1,13,2,51,5
2,44,26,1,-1,9,1,36,2
2,41,59,1,-1,9,1,36,1
1,44,60,1,-1,10,1,40,1
1,43,33,1,-1,10,2,40,8
2,43,31,6,-1,10,3,43,11
1,42,34,1,-1,13,3,51,12
1,39,54,1,-1,9,3,38,14
2,39,25,1,-1,11,3,45,13
1,46,79,3,1,12,2,49,5
2,45,75,1,-1,10,2,41,10
1,39,73,1,-1,12,8,47,20
2,44,70,1,-1,10,3,43,15
1,46,38,1,-1,10,1,40,1
2,44,35,1,-1,10,2,40,10
2,41,80,1,-1,9,3,38,14
2,43,50,1,-1,5,4,22,16
1,43,58,1,-1,10,1,42,1
1,40,54,1,-1,3,7,4,19
2,40,53,1,-1,10,3,42,11
1,44,59,1,-1,10,2,41,10
2,44,57,1,-1,10,2,41,10
1,43,28,1,-1,9,5,38,17
1,42,49,1,-1,10,2,41,10
2,43,57,1,-1,10,2,41,10
2,44,57,1,-1,10,2,40,8
1,44,44,1,-1,9,2,36,9
2,43,44,1,-1,9,1,36,2
2,39,25,1,-1,5,4,22,16
2,43,46,1,-1,7,2,29,4
1,39,43,1,-1,5,2,22,4
1,44,31,1,-1,13,2,51,5
1,39,31,1,-1,10,9,40,21
1,43,54,1,-1,5,3,21,13
2,43,56,1,-1,5,3,21,13
2,39,52,1,-1,9,3,38,14
2,42,78,1,-1,10,2,43,8
1,44,62,1,-1,7,2,27,9
2,46,66,1,-1,10,1,40,1
1,40,22,1,-1,4,7,8,19
2,44,57,2,-1,8,4,33,16
1,39,33,1,-1,11,3,46,13
1,39,59,1,-1,3,1,4,1
2,39,57,1,-1,9,5,36,17
1,40,65,1,-1,6,4,23,16
2,43,63,1,-1,9,2,36,4
2,42,65,1,-1,9,3,36,11
2,40,25,1,-1,10,2,42,10
1,39,67,1,-1,3,7,4,19
1,44,50,1,-1,8,1,32,1
2,43,45,1,-1,9,1,36,1
1,43,41,1,-1,8,9,33,21
1,43,42,1,-1,10,2,41,10
2,43,56,1,-1,10,1,40,1
1,40,66,1,-1,6,10,23,22
1,39,30,2,-1,5,10,22,22
1,40,74,1,-1,11,3,44,14
1,37,33,2,-1,10,3,41,13
1,39,44,1,-1,3,7,4,19
1,40,25,1,-1,11,3,46,13
1,44,19,1,-1,10,2,42,10
1,46,33,1,-1,10,2,42,10
2,46,31,1,-1,10,2,42,10
2,42,39,1,-1,9,1,38,2
1,39,42,1,-1,6,10,23,22
1,43,48,1,-1,3,2,4,8
2,44,45,1,-1,10,2,40,8
1,44,47,1,-1,3,7,4,19
2,43,59,1,-1,10,2,42,10
1,44,57,1,-1,9,1,36,1
2,40,45,1,-1,5,10,22,22
2,39,66,1,-1,13,5,51,17
1,38,36,1,-1,4,9,14,21
1,39,29,1,-1,10,3,40,13
1,40,32,1,-1,3,2,4,5
2,40,26,1,-1,8,4,33,16
1,44,53,1,-1,9,2,38,3
2,44,49,1,-1,10,2,40,8
2,43,67,1,-1,12,3,50,11
2,40,26,1,-1,6,10,23,22
1,43,39,1,-1,8,1,33,2
1,43,39,1,-1,8,1,32,1
1,43,68,1,-1,9,2,36,4
2,44,42,1,-1,8,1,32,1
1,44,49,1,-1,8,2,32,3
1,37,23,1,-1,3,7,4,19
1,43,46,1,-1,5,4,21,16
2,43,52,1,-1,5,4,21,16
2,43,62,1,-1,10,1,41,1
1,43,50,1,-1,13,5,51,17
2,43,49,1,-1,10,2,41,10
2,43,44,1,-1,10,2,40,8
